,split,Frequence (%),Metric name,Scores,D,M
80,leave_drugs_out (test_set 1),1,AUPRC,0.4633815977376613,twosides-NOSYN,AUPRC
81,leave_drugs_out (test_set 1),1,AUPRC,0.13367214429814964,twosides-NOSYN,AUPRC
82,leave_drugs_out (test_set 1),1,AUPRC,0.09841942926452522,twosides-NOSYN,AUPRC
83,leave_drugs_out (test_set 1),1,AUPRC,0.21657932650005457,twosides-NOSYN,AUPRC
84,leave_drugs_out (test_set 1),1,AUPRC,0.04738438419502958,twosides-NOSYN,AUPRC
85,leave_drugs_out (test_set 1),1,AUPRC,0.38037899565180366,twosides-NOSYN,AUPRC
86,leave_drugs_out (test_set 1),1,AUPRC,0.038310232458521415,twosides-NOSYN,AUPRC
87,leave_drugs_out (test_set 1),1,AUPRC,0.034087688896824384,twosides-NOSYN,AUPRC
88,leave_drugs_out (test_set 1),1,AUPRC,0.39485825630206917,twosides-NOSYN,AUPRC
89,leave_drugs_out (test_set 1),1,AUPRC,0.037375632645387416,twosides-NOSYN,AUPRC
90,leave_drugs_out (test_set 1),1,AUPRC,0.08679298315395878,twosides-NOSYN,AUPRC
91,leave_drugs_out (test_set 1),1,AUPRC,0.07825987669874795,twosides-NOSYN,AUPRC
92,leave_drugs_out (test_set 1),1,AUPRC,0.11838370067931589,twosides-NOSYN,AUPRC
93,leave_drugs_out (test_set 1),1,AUPRC,0.03493104826508001,twosides-NOSYN,AUPRC
94,leave_drugs_out (test_set 1),2,AUPRC,0.6035712041769669,twosides-NOSYN,AUPRC
95,leave_drugs_out (test_set 1),1,AUPRC,0.30104831620597006,twosides-NOSYN,AUPRC
96,leave_drugs_out (test_set 1),1,AUPRC,0.11246552423735894,twosides-NOSYN,AUPRC
97,leave_drugs_out (test_set 1),1,AUPRC,0.25899903938125557,twosides-NOSYN,AUPRC
98,leave_drugs_out (test_set 1),1,AUPRC,0.039761491762753065,twosides-NOSYN,AUPRC
99,leave_drugs_out (test_set 1),1,AUPRC,0.08953742119612484,twosides-NOSYN,AUPRC
100,leave_drugs_out (test_set 1),1,AUPRC,0.09119835246039319,twosides-NOSYN,AUPRC
101,leave_drugs_out (test_set 1),1,AUPRC,0.062190900705092755,twosides-NOSYN,AUPRC
102,leave_drugs_out (test_set 1),1,AUPRC,0.1830574333558339,twosides-NOSYN,AUPRC
103,leave_drugs_out (test_set 1),1,AUPRC,0.09745677575977311,twosides-NOSYN,AUPRC
104,leave_drugs_out (test_set 1),3,AUPRC,0.8181153322799178,twosides-NOSYN,AUPRC
105,leave_drugs_out (test_set 1),1,AUPRC,0.4107883148912579,twosides-NOSYN,AUPRC
106,leave_drugs_out (test_set 1),2,AUPRC,0.43327940809893795,twosides-NOSYN,AUPRC
107,leave_drugs_out (test_set 1),1,AUPRC,0.23593943995718847,twosides-NOSYN,AUPRC
108,leave_drugs_out (test_set 1),1,AUPRC,0.08282219227744674,twosides-NOSYN,AUPRC
109,leave_drugs_out (test_set 1),1,AUPRC,0.24058496881855712,twosides-NOSYN,AUPRC
110,leave_drugs_out (test_set 1),1,AUPRC,0.08429731786891372,twosides-NOSYN,AUPRC
111,leave_drugs_out (test_set 1),1,AUPRC,0.37572638532542646,twosides-NOSYN,AUPRC
112,leave_drugs_out (test_set 1),1,AUPRC,0.15639683997306844,twosides-NOSYN,AUPRC
113,leave_drugs_out (test_set 1),1,AUPRC,0.1380545636807941,twosides-NOSYN,AUPRC
114,leave_drugs_out (test_set 1),1,AUPRC,0.3236848706122287,twosides-NOSYN,AUPRC
115,leave_drugs_out (test_set 1),1,AUPRC,0.05595767656379984,twosides-NOSYN,AUPRC
116,leave_drugs_out (test_set 1),1,AUPRC,0.05208521569529548,twosides-NOSYN,AUPRC
117,leave_drugs_out (test_set 1),1,AUPRC,0.08859475236535878,twosides-NOSYN,AUPRC
118,leave_drugs_out (test_set 1),1,AUPRC,0.0602942754095538,twosides-NOSYN,AUPRC
119,leave_drugs_out (test_set 1),2,AUPRC,0.47029037489393766,twosides-NOSYN,AUPRC
120,leave_drugs_out (test_set 1),2,AUPRC,0.662482751233239,twosides-NOSYN,AUPRC
121,leave_drugs_out (test_set 1),1,AUPRC,0.3129358616538184,twosides-NOSYN,AUPRC
122,leave_drugs_out (test_set 1),1,AUPRC,0.11697847281733628,twosides-NOSYN,AUPRC
